시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
범어교회,대구광역시 수성구 청호로84길 71(범어동),대구광역시 수성구 범어동 98-1,범어교회,053-667-8800,동대구역,노숙자+어르신,석식(17:00~18:00),월+화+수+금+토+일,,,35.85291374,128.6405362,2025-07-15,3460000,대구광역시 수성구
행복한동행,대구광역시 수성구 화랑로34길 17(만촌동),대구광역시 수성구 만촌동 380-2,행복한동행,053-475-6800,망우당공원,노숙자+어르신,중식(12:00~13:30),토,,,35.87617784,128.6463463,2025-07-15,3460000,대구광역시 수성구
검단노인복지관 경로식당,인천광역시 서구 검단로502번길 15-1,인천광역시 서구 마전동 987-7,검단노인복지관,032-561-0129,검단노인복지관검단경로식당,맞춤형급여대상자 등 저소득층 노인,중식(11:40~12:40),월+화+수+목+금,2019-04-01,,37.60223975,126.6609564,2025-07-09,3560000,인천광역시 서구
연희노인문화센터경로무료급식소,인천광역시 서구 승학로 263,인천광역시 서구 심곡동 325-1,연희노인문화센터,032-569-7351,연희노인문화센터경로식당,맞춤형급여대상자 등 저소득층 노인,중식(11:30~12:30),월+화+수+목+금,2012-07-02,,37.5462409,126.6721504,2025-07-09,3560000,인천광역시 서구
가좌노인문화센터경로무료급식소,인천광역시 서구 장고개로 387,인천광역시 서구 가좌동 2-3,가좌노인문화센터,032-581-7074,가좌노인문화센터경로식당,맞춤형급여대상자 등 저소득층 노인,중식(11:30~12:30),월+화+수+목+금,2008-02-11,,37.4955378,126.6912229,2025-07-09,3560000,인천광역시 서구
서구노인복지관경로무료급식소,인천광역시 서구 신석로121번길10,인천광역시 서구 석남동 484,서구노인복지관,032-582-4071,서구노인복지관경로식당,맞춤형급여대상자 등 저소득층 노인,중식(11:30~12:30),월+화+수+목+금,2005-02-01,,37.5107467,126.6760543,2025-07-09,3560000,인천광역시 서구
해남노인종합복지관,전라남도 해남군 해남읍 서림길 16,전라남도 해남군 해남읍 구교리 344,해남노인종합복지관,061-537-0012,해남노인종합복지관,결식노인,중식(11:30-12:30),월+화+수+목+금,2011-01-01,2025-12-31,34.5749783,126.593996,2025-07-11,4930000,전라남도 해남군
해남종합사회복지관,전라남도 해남군 해남읍 중앙1로 14-14,전라남도 해남군 해남읍 해리 451-1,해남종합사회복지관,061-534-6778,해남종합사회복지관,결식노인,중식(11:30-12:30),월+화+수+목+금,2011-01-01,2025-12-31,34.5720002,126.6067444,2025-07-11,4930000,전라남도 해남군
고성군노인복지관,경상남도 고성군 고성읍 남포로79번길 133,경상남도 고성군 고성읍 대독리 4,대한노인회 고성군지회,055-674-2993,고성군노인복지관 지하 1층,저소득결식노인,중식(11:00-12:00),월+화+수+목+금,,,34.96964745,128.3134156,2025-07-11,5420000,경상남도 고성군
종천 무료경로식당,충청남도 서천군 종천면 충서로302번길 88-26,충청남도 서천군 종천면 종천리 37-3,서천군노인복지관,041-950-1208,서천군노인복지관,결식우려가 있는 노인,12:00~13:00,월+화+수+목+금,2017-07-25,9999-12-31,36.11074525,126.6564547,2025-07-08,4580000,충청남도 서천군
장항 무료경로식당,충청남도 서천군 장항읍 장항로 43,충청남도 서천군 장항읍 화천리 333-58,장항경로식당 운영 자원봉사자협의회,041-956-6464,장항여성복지회관,결식우려가 있는 노인,11:30~12:30,화+목,2017-07-25,9999-12-31,36.01339831,126.6836778,2025-07-08,4580000,충청남도 서천군
산재장애인협회 무료경로식당,충청남도 서천군 장항읍 장마로10번길 19,충청남도 서천군 장항읍 신창리 173-64,한국산재장애인협회서천군지회,041-956-3835,산재장애인협회서천군지회,결식우려가 있는 노인,11:30~12:30,월+수,2023-09-01,9999-12-31,36.0092952,126.6910007,2025-07-08,4580000,충청남도 서천군
노인회관 무료경로식당,충청남도 서천군 서천읍 군청안길 27,충청남도 서천군 서천읍 군사리 540-1,대한노인회서천군지회,041-950-2074,서천군 노인회관,결식우려가 있는 노인,11:30~12:30,화+수,2023-09-01,9999-12-31,36.0771535,126.6939557,2025-07-08,4580000,충청남도 서천군
합천군 종합사회복지관,경상남도 합천군 합천읍 동서로 39,경상남도 합천군 합천읍 합천리 524-1,합천군 여성단체협의회,055-930-4744,합천군 종합사회복지관,저소득 노인,중식(11:30~13:00),매월 3일+8일,2017-01-01,,35.56792899,128.1567554,2025-07-07,5480000,경상남도 합천군
순천종합사회복지관,전라남도 순천시 저전길 84 (인제동),전라남도 순천시 인제동 101-6,순천종합사회복지관,061-741-3062,복지관 내 식당,60세 이상 결식우려노인,11:30 ~ 12:30,매주 월~금요일,2000-06-09,,34.94634798,127.4846998,2025-09-16,4820000,전라남도 순천시
순천조례종합사회복지관,전라남도 순천시 신월큰길 54 (조례동),전라남도 순천시 조례동 1666,순천조례종합사회복지관,061-722-2304,복지관 내 식당,60세 이상 결식우려노인,11:20 ~ 12:00,매주 월~금요일,1996-03-04,,34.961265,127.5160913,2025-09-16,4820000,전라남도 순천시
조곡무료급식소,전라남도 순천시 자경1길 6 (조곡동),전라남도 순천시 조곡동 82-170,순천YWCA,061-744-7990,철도운동장 내 체육시설관리소 1층 식당,60세 이상 결식우려노인,11:20 ~ 12:20,매주 월~토요일,2014-11-04,,34.94951848,127.4989287,2025-09-16,4820000,전라남도 순천시
남정무료급식소,전라남도 순천시 동신흥1길 18 (남정동),전라남도 순천시 남정동 541-6,남정무료급식소,061-742-3191,남정무료급식소,60세 이상 결식우려노인,16:00 ~ 17:00,매주 월~토요일,2013-01-02,,34.93930004,127.490676,2025-09-16,4820000,전라남도 순천시
요셉의집,대구광역시 중구 태평로210,대구광역시 중구 교동 26-7,성모자애원,053-426-8737,요셉의집,노숙인 등,09:00~10:00,월+화+목+금+토,,,35.87364814,128.6005028,2025-09-16,3410000,대구광역시 중구
불자의집,대구광역시 중구 공평로8길 15,대구광역시 중구 삼덕동2가 26,관음사,053-421-3700,불자의집,취약계층,10:00~12:00,금,,,35.86699986,128.6010507,2025-09-16,3410000,대구광역시 중구
사랑의 무료급식소,대구광역시 중구 동인동3가 태평로 295,대구광역시 중구 동인동3가 369-14,개인,053-421-8666,사랑의 무료급식소,취약계층,11:30~13:00,토+일,,,35.87808956,128.5814114,2025-09-16,3410000,대구광역시 중구
대구제일교회,대구광역시 중구 국채보상로102길 50,대구광역시 중구 동산동 234,대구제일교회,053-253-2615,대구제일교회,취약계층,18:00~19:30,토,,,35.86766703,128.5855662,2025-09-16,3410000,대구광역시 중구
자비의집,대구광역시 중구 문우관길 73,대구광역시 중구 남산동 932-33,동화복지재단,053-256-1082,자비의집,노인 등,09:30~12:30,월+화+수+목+금,,,35.86404983,128.5928403,2025-09-16,3410000,대구광역시 중구
정라동 참좋은교회,강원특별자치도 삼척시 동해대로 4032,강원특별자치도 삼척시 정상동 310,강원특별자치도 삼척시청,033-575-0161,정라동 참좋은교회,관내 65세 이상 노인,중식(12:00),주1회(별도 공지),2022-07-01,,37.44127327,129.178711,2025-07-28,4241000,강원특별자치도 삼척시
삼척시 종합사회복지관,강원특별자치도 삼척시 원당로2길 72-6,강원특별자치도 삼척시 원당동 170,강원특별자치도 삼척시청,033-573-6168,삼척시 종합사회복지관,관내 65세 이상 노인,중식(12:00),주2회(별도 공지),2022-07-01,,37.43740511,129.1528622,2025-07-28,4241000,강원특별자치도 삼척시
남양동 중앙교회,강원특별자치도 삼척시 봉황로 29-63,강원특별자치도 삼척시 남양동 339,강원특별자치도 삼척시청,033-573-1005,남양동 중앙교회,관내 65세 이상 노인,중식(12:00),월1회(별도 공지),2022-07-01,,37.44149275,129.1694411,2025-07-28,4241000,강원특별자치도 삼척시
화성시나래울종합사회복지관,경기도 화성시 여울로2길 33,,화성시나래울종합사회복지관,031-8015-7447,화성시나래울종합사회복지관 경로식당,60세 이상 노인(기초생활수급자 및 차상위),중식(11:20~12:30),월+화+수+목+금,2015-07-03,,37.20520214,127.051495,2025-07-11,5530000,경기도 화성시
화성시동탄치동천종합사회복지관,경기도 화성시 동탄순환대로24길 101,,화성시동탄치동천종합사회복지관,070-4418-0104,화성시동탄치동천종합사회복지관 경로식당,60세 이상 노인(기초생활수급자 및 차상위),중식(11:30~12:30),월+화+수+목+금,2016-07-14,,37.20507373,127.1195146,2025-07-11,5530000,경기도 화성시
화성시동탄노인복지관,경기도 화성시 동탄대로8길 36,,화성시동탄노인복지관,031-8077-1815,화성시동탄노인복지관 경로식당,60세 이상 노인(기초생활수급자 및 차상위),중식(11:30~13:00),월+화+수+목+금,2019-10-01,,37.170548,127.110457,2025-07-11,5530000,경기도 화성시
대한예수교장로회세우는교회,경기도 화성시 병점중앙로10번길 10,,대한예수교장로회세우는교회,031-225-2232,병점옆 앞 광장,60세 이상 노인(기초생활수급자 및 차상위),중식(11:40~13:00),수,2017-02-20,,37.20011012,127.045919,2025-07-11,5530000,경기도 화성시
화성시서부종합사회복지관,경기도 화성시 송산면 사강로 145,,화성시서부종합사회복지관,031-366-7390,화성시서부종합사회복지관 경로식당,60세 이상 노인(기초생활수급자 및 차상위),중식(11:00~12:30),월+화+수+목+금,2014-10-01,,37.213075,126.7320235,2025-07-11,5530000,경기도 화성시
화성시남부노인복지관,경기도 화성시 향남읍 토성로 37-22,,화성시남부노인복지관,070-4881-8937,화성시남부노인복지관 경로식당,60세 이상 노인(기초생활수급자 및 차상위),중식(11:30~13:00),월+화+수+목+금,2014-04-16,,37.12816422,126.9368038,2025-07-11,5530000,경기도 화성시
기쁨두배복지센터,경기도 화성시 향남읍 행정서로1길 9-10,,기쁨두배복지센터,031-354-9991,기쁨두배복지센터,60세 이상 노인(기초생활수급자 및 차상위),중식(11:30~13:00),수+토,2008-10-24,,37.12565616,126.9137568,2025-07-11,5530000,경기도 화성시
더불어사는우리 만나무료급식소,경기도 화성시 남양읍 남양로 839 1층 101호,,더불어사는우리 만나무료급식소,031-355-2580,더불어사는우리 만나무료급식소,60세 이상 노인(기초생활수급자 및 차상위),중식(11:00~12:30),월+화+수+목+금,2018-02-01,,37.211031,126.832229,2025-07-11,5530000,경기도 화성시
화성시정조효노인복지관,경기도 화성시 용주로152번길 27,,화성시정조효노인복지관,070-4102-0934,화성시정조효노인복지관 경로식당,60세 이상 노인(기초생활수급자 및 차상위),중식(11:30~13:00),월+화+수+목+금,2024-01-02,,37.211941,127.0026355,2025-07-11,5530000,경기도 화성시
화성시서부노인복지관,경기도 화성시 남양읍 시청로 155,,화성시서부노인복지관,070-4467-4669,화성시서부노인복지관 경로식당,60세 이상 노인(기초생활수급자 및 차상위),중식(11:40~12:30),월+화+수+목+금,2022-01-02,,37.19878594,126.8287365,2025-07-11,5530000,경기도 화성시
한마음 무료급식소,부산광역시 북구 의성로127번길 90 (덕천동),부산광역시 북구 덕천동 811,한마음 무료급식소,051-529-2037,한마음 무료급식소,노인,중식(12:00~13:00),"수,일",,,35.21036002,129.0161283,2025-07-16,3320000,부산광역시 북구
진여원,부산광역시 북구 낙동북로 664 (구포동),부산광역시 북구 구포동 930-8,진여원,051-338-1008,진여원,노인+노숙자,임시운영중단,임시운영중단,,,35.2014266,128.9972949,2025-07-16,3320000,부산광역시 북구
서초구립 양재노인종합복지관,서울특별시 서초구 강남대로30길 73-7,서울특별시 서초구 양재동 7-44,양재노인종합복지관,02-578-1515,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,37.48302001,127.040816,2025-07-17,3210000,서울특별시 서초구
방배노인종합복지관,서울특별시 서초구 방배천로 48,서울특별시 서초구 방배동 455-11,방배노인종합복지관,02-581-7992,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,37.48076743,126.982713,2025-07-17,3210000,서울특별시 서초구
서초구립 중앙노인종합복지관,서울특별시 서초구 서초대로54길 45,서울특별시 서초구 서초동 1666-17,중앙노인종합복지관,02-3474-6080,2층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,37.49232427,127.016811,2025-07-17,3210000,서울특별시 서초구
서초구립 양재종합사회복지관,서울특별시 서초구 남부순환로 2610,서울특별시 서초구 양재동 11-13,양재종합사회복지관,02-579-4782,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,37.48452702,127.036143,2025-07-17,3210000,서울특별시 서초구
우면종합사회복지관,서울특별시 서초구 바우뫼로7길 11,서울특별시 서초구 우면동 63,우면종합사회복지관,02-577-6321,2층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,37.4698618,127.023866,2025-07-17,3210000,서울특별시 서초구
홀트대구종합사회복지관,대구광역시 수성구 달구벌대로488길 13 (범어동),대구광역시 수성구 범어동 238-50,홀트아동복지회,053-746-7501,도시락배달,65세 이상 어르신+ 65세 이하 취약계층,중식(11:00~12:00),화+수+목+금,,,35.8575985,128.6296926,2025-07-15,3460000,대구광역시 수성구
범물종합사회복지관,"대구광역시 수성구 범안로 79 (범물동, 범물용지아파트)",대구광역시 수성구 범물동 1283,진명복지재단,053-781-2000,범물종합사회복지관,어르신+장애인,중식(11:20~12:20),목+금,,,35.81946498,128.6459751,2025-07-15,3460000,대구광역시 수성구
황금종합사회복지관,"대구광역시 수성구 청수로45길 41(황금동, 황금3주공아파트)",대구광역시 수성구 황금동 965,아시아복지재단,053-768-1252,황금종합사회복지관,어르신,중식(11:50~12:30),수+금,,,35.84290201,128.6311639,2025-07-15,3460000,대구광역시 수성구
청곡종합사회복지관,대구광역시 수성구 노변공원로 49-1 (노변동),대구광역시 수성구 노변동 161-4,아시아복지재단,053-793-9411,청곡종합사회복지관,어르신+기초수급자,중식(12:00~13:00),수+금,,,35.83759349,128.6984653,2025-07-15,3460000,대구광역시 수성구
대전광역시노인복지관,대전광역시 중구 테미로 26 (대흥동),대전광역시 중구 대흥동 311-1,대전광역시노인복지관,042-259-8500,1층 행복식당,55세 이상 수급자 및 차상위계층,중식(12:00-13:00),월~금,2007-01-01,2025-12-31,36.32073573,127.4208506,2025-08-04,3650000,대전광역시 중구
경로식당,전라남도 곡성군 곡성읍 중앙로 108-2,전라남도 곡성군 곡성읍 읍내리 269-3,뜨란채 밥상,061-363-8413,뜨란채 밥상,식사를 거를 우려가 있는 65세 이상 어르신,중식(12:00),월+화+수+목+금,,,,,2024-08-16,4860000,전라남도 곡성군
경로식당,전라남도 곡성군 삼기면 원등4길 2-1,전라남도 곡성군 삼기면 원등리 315-4,원등교회,061-362-6878,원등교회,식사를 거를 우려가 있는 65세 이상 어르신,중식(12:00),월+화+수+목+금,,,,,2024-08-16,4860000,전라남도 곡성군
비산종합사회복지관,경기도 안양시 동안구 임곡로 74(비산동),경기도 안양시 동안구 비산동 510-5번지,사단법인 위니버스,031-446-5936,비산종합사회복지관,60세 이상 결식위험 저소득 노인(기초생활수급자 및 차상위계층 등),중식(11:00~13:00),월+화+수+목+금,1999-10-15,,37.40585525,126.9340762,2025-06-27,3830000,경기도 안양시
부흥종합사회복지관,경기도 안양시 동안구 달안로 39(비산동),경기도 안양시 동안구 비산동 1102-9번지 관악주공아파트,사회복지법인 한국장로교 복지재단,031-382-7557,부흥종합사회복지관,60세 이상 결식위험 저소득 노인(기초생활수급자 및 차상위계층 등),중식(11:00~13:00),월+화+수+목+금,1999-10-15,,37.39502286,126.9478616,2025-06-27,3830000,경기도 안양시
율목종합사회복지관,경기도 안양시 만안구 병목안로130번길 166(안양동),경기도 안양시 만안구 안양동 970-1번지,사회복지법인 기독교 대한감리회 사회복지재단,031-466-9125,율목종합사회복지관,60세 이상 결식위험 저소득 노인(기초생활수급자 및 차상위계층 등),중식(11:00~13:00),월+화+수+목+금,2003-05-30,,37.39311959,126.9084368,2025-06-27,3830000,경기도 안양시
만안종합사회복지관,경기도 안양시 만안구 박달로 547-1(안양동),경기도 안양시 만안구 안양동 693-13번지,사회복지법인 돕는사람들,031-464-9701,만안종합사회복지관,60세 이상 결식위험 저소득 노인(기초생활수급자 및 차상위계층 등),중식(11:00~13:00),월+화+수+목+금,2017-02-13,,37.40290732,126.9136364,2025-06-27,3830000,경기도 안양시
이천시청미노인복지관,경기도 이천시 장호원읍 서동대로8965번길 57,경기도 이천시 장호원읍 오남리 14-1번지,이천시청미노인복지관,031-641-4260,이천시청미노인복지관 경로식당,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(11:30~12:30),월+화+수+목+금,2014-10-22,,37.1156648,127.6295069,2025-09-01,4070000,경기도 이천시
이천선린교회,경기도 이천시 경충대로2652번길 1,경기도 이천시 중리동 445-9번지,이천선린교회,031-636-0480,이천선린교회 좋은이웃 복지센터 경로식당,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(11:50~12:30),월+화+수+목+금,2007-03-20,,37.2762536,127.4380392,2025-09-01,4070000,경기도 이천시
이천시노인종합복지관,경기도 이천시 남천로 31,경기도 이천시 중리동 187번지,이천시노인종합복지관,031-636-0190,이천시노인종합복지관 경로식당,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(11:20~12:00),월+화+수+목+금,2014-10-22,,37.2782608,127.4410593,2025-09-01,4070000,경기도 이천시
이천시남부노인복지관,경기도 이천시 율면 금율로 1084,경기도 이천시 율면 고당리 374,이천시남부노인복지관,031-8011-0610,이천시남부노인복지관 경로식당,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(12:00~13:00),월+화+수+목+금,2023-04-24,,37.09650072,127.5453756,2025-09-01,4070000,경기도 이천시
에이스경로회관,경기도 이천시 영창로 293,경기도 이천시 안흥동 352-5,재단법인 에이스 경암,031-634-2850,에이스 경로 회관,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(12:00~13:00),월+화+수+목+금,2013-05-07,,37.281183,127.455022,2025-09-01,4070000,경기도 이천시
칠곡사랑의집 무료급식소,경상북도 칠곡군 왜관읍 중앙로5길 18-46,경상북도 칠곡군 왜관읍 왜관리 216-17,칠곡교회연합회,054-973-4578,칠곡사랑의집,관내 60세이상 결식이 우려되는 노인,11:30~13:00,월+화+수+목+금,1997-11-25,,35.9952173,128.3999035,2025-08-29,5220000,경상북도 칠곡군
양주시옥정종합사회복지관 경로식당,경기도 양주시 옥정동로 258(옥정동),"경기도 양주시 옥정동 1032, 옥정천년나무8단지","서정대학교 산학협력단, 양주시옥정종합사회복지관",031-868-9073,옥정종합사회복지관 내 수라방,60세 이상 기초생활수급 및 차상위 노인,중식(11:30-12:30),월+화+수+목+금,2024-01-01,2024-12-31,37.83094748,127.0994852,2025-09-12,5590000,경기도 양주시
양주시회천노인복지관 경로식당,"경기도 양주시 화합로1426번길 90, 4층(덕정동)",경기도 양주시 덕정동 206,양주시회천노인복지관,031-859-9081,양주시회천노인복지관 내 행복식당,60세 이상 기초생활수급 및 차상위 노인,중식(11:30-12:30),월+화+수+목+금,2024-01-01,2024-12-31,37.83814181,127.068036,2025-09-12,5590000,경기도 양주시
양주시희망노인복지관 경로식당,경기도 양주시 삼숭로58번길 108-47(삼숭동),경기도 양주시 삼숭동 176-5,양주시희망노인복지관,031-848-6500,양주시희망노인복지관 소담식당,60세 이상 기초생활수급 및 차상위 노인,중식(11:30-12:30),월+화+수+목+금,2024-01-01,2024-12-31,37.80146068,127.108568,2025-09-12,5590000,경기도 양주시
내일을여는집,인천광역시 계양구 계양산로 91,인천광역시 계양구 계산동 902-1,내일을여는집,032-556-8004,내일을여는집,60세 이상 기초수급자 및 차상위계층+저소득 독거노인,11:00~13:00,월+화+수+목+금,2002-09-01,,37.547814,126.725859,2025-09-01,3550000,인천광역시 계양구
효성영광교회,인천광역시 계양구 봉오대로 543번길 4,인천광역시 계양구 효성동 147-3,효성영광교회,032-547-0003,효성영광교회,60세 이상 기초수급자 및 차상위계층+저소득 독거노인,10:00~12:30,화+수+목,2002-04-01,,37.531039,126.709049,2025-09-01,3550000,인천광역시 계양구
동양노인문화센터,인천광역시 계양구 동양로 74-29,인천광역시 계양구 동양동 387-3,(사)행복나눔,032-555-7766,동양노인문화센터,60세 이상 기초수급자 및 차상위계층+저소득 독거노인,11:00~13:00,월+화+수+목+금,2011-04-01,,37.557011,126.753312,2025-09-01,3550000,인천광역시 계양구
계산노인문화센터,인천광역시 계양구 경명대로 980,인천광역시 계양구 계산동 885-24,계양구시설관리공단,032-556-5611,계산노인문화센터,60세 이상 기초수급자 및 차상위계층+저소득 독거노인,11:00~13:00,월+화+수+목+금,2010-02-01,,37.543629,126.715609,2025-09-01,3550000,인천광역시 계양구
계양구노인복지관,인천광역시 계양구 효서로 341번길 11,인천광역시 계양구 작전동 926-6,대한노인회,032-552-4494,계양구노인복지관,60세 이상 기초수급자 및 차상위계층+저소득 독거노인,11:00~13:00,월+화+수+목+금,2000-01-01,,37.528706,126.734723,2025-09-01,3550000,인천광역시 계양구
노인행복지원센터,인천광역시 계양구 황어로134번길 28,인천광역시 계양구 장기동 152-5,사랑의쌀나눔운동본부,02-780-5332,노인행복지원센터,60세 이상 기초수급자 및 차상위계층+저소득 독거노인,11:00~13:00,화+목+금,2016-09-01,,37.577458,126.736709,2025-09-01,3550000,인천광역시 계양구
계양종합사회복지관,인천광역시 계양구 아나지로 517,인천광역시 계양구 서운동 130-6,명성복지회,032-552-9093,식사배달,60세 이상 기초수급자 및 차상위계층+저소득 독거노인,09:30~13:00,월+화+수+목+금,2000-02-01,,37.526030,126.750289,2025-09-01,3550000,인천광역시 계양구
아현노인복지센터,서울특별시 마포구 마포대로 26길 19,서울특별시 마포구 아현동 733-14,사회복지법인 연꽃마을,02-365-3677,경로식당+식사배달,수급자+차상위+기타저소득,중식(11:30~12:30),월+화+수+목+금,2017-01-01,2025-12-31,37.55498128,126.9587653,2025-09-09,3130000,서울특별시 마포구
